Description,File,Variable,Year
Covered by SCHIP,HIQ_D.htm,HIQ031E,2005-2006
Covered by health insurance,HIQ_D.htm,HIQ011,2005-2006
Covered by military health care,HIQ_D.htm,HIQ031F,2005-2006
Covered by other government insurance,HIQ_D.htm,HIQ031I,2005-2006
Covered by private insurance,HIQ_D.htm,HIQ031A,2005-2006
Covered by single service plan,HIQ_D.htm,HIQ031J,2005-2006
Covered by state-sponsored health plan,HIQ_D.htm,HIQ031H,2005-2006
"Crawl, walk, run, play limitations",PFQ_C.htm,PFQ020,2003-2004
Creatinine (mg/dL),L40_C.htm,LBXSCR,2003-2004
Creatinine (umol/L),L40_C.htm,LBDSCRSI,2003-2004
"Creatinine, urine (mg/dL)",L16_C.htm,URXUCR,2003-2004
"Creatinine, urine (umol/L)",L16_C.htm,URXUCRSI,2003-2004
Crooked teeth or need braces,OHXREF_C.htm,OHQ490g,2003-2004
Cuff size for blood pressure monitor,CVX_C.htm,CVACUFF,2003-2004
Current self-reported height (inches),WHQ_C.htm,WHD010,2003-2004
Current self-reported weight (pounds),WHQ_C.htm,WHD020,2003-2004
DRE to check for blood in stool,KIQ_P_C.htm,KIQ381,2003-2004
DRE to check for prostate cancer,KIQ_P_C.htm,KIQ361,2003-2004
Data Reliability Status Flag,PAXRAW_C.htm,PAXSTAT,2003-2004
Day of the Week,PAXRAW_C.htm,PAXDAY,2003-2004
Dental Implant: yes / no?,OHXDEN_C (1).htm,OHXIMP,2003-2004
Dental Sealants:  #10,OHXDEN_C (1).htm,OHX10SE,2003-2004
Dental Sealants:  #12,OHXDEN_C (1).htm,OHX12SE,2003-2004
Dental Sealants:  #13,OHXDEN_C (1).htm,OHX13SE,2003-2004
Dental Sealants:  #14,OHXDEN_C (1).htm,OHX14SE,2003-2004
Dental Sealants:  #15,OHXDEN_C (1).htm,OHX15SE,2003-2004
Dental Sealants:  #18,OHXDEN_C (1).htm,OHX18SE,2003-2004
Dental Sealants:  #19,OHXDEN_C (1).htm,OHX19SE,2003-2004
Dental Sealants:  #2,OHXDEN_C (1).htm,OHX02SE,2003-2004
Dental Sealants:  #20,OHXDEN_C (1).htm,OHX20SE,2003-2004
Dental Sealants:  #21,OHXDEN_C (1).htm,OHX21SE,2003-2004
Dental Sealants:  #28,OHXDEN_C (1).htm,OHX28SE,2003-2004
Dental Sealants:  #29,OHXDEN_C (1).htm,OHX29SE,2003-2004
Dental Sealants:  #3,OHXDEN_C (1).htm,OHX03SE,2003-2004
Dental Sealants:  #30,OHXDEN_C (1).htm,OHX30SE,2003-2004
Dental Sealants:  #31,OHXDEN_C (1).htm,OHX31SE,2003-2004
Dental Sealants:  #4,OHXDEN_C (1).htm,OHX04SE,2003-2004
Dental Sealants:  #5,OHXDEN_C (1).htm,OHX05SE,2003-2004
Dental Sealants:  #7,OHXDEN_C (1).htm,OHX07SE,2003-2004
Dental decay present,OHX_D.htm,OHXDECAY,2005-2006
Dental restoration present,OHX_D.htm,OHXREST,2005-2006
Dental sealant present,OHX_D.htm,OHXSEAL,2005-2006
Dentition Status Code,OHXDEN_C (1).htm,OHASCST3,2003-2004
Denture problems,OHXREF_C.htm,OHQ490j,2003-2004
Denture/Partial Denture/plates,OHXREF_C.htm,OHAROCDE,2003-2004
Depression Score,CIQDEP_C.htm,CIDDSCOR,2003-2004
"Depression/anxiety/emotional probl, days",PFQ_C.htm,PFD069D,2003-2004
Describe quantity/quality cutback,CIQDEP_C.htm,CIQD100,2003-2004
Describe the cond. of your mouth/teeth,OHXREF_C.htm,OHQ011,2003-2004
Device Intensity Value,PAXRAW_C.htm,PAXINTEN,2003-2004
Device Step Count,PAXRAW_D.htm,PAXSTEP,2005-2006
Diabetes affected eyes/had retinopathy,DIQ_D.htm,DIQ080,2005-2006
"Diabetes condition, days",PFQ_C.htm,PFD069F,2003-2004
Diagnosed with enlarged prostate,KIQ_P_C.htm,KIQ121,2003-2004
Diagnosed with prostate disease,KIQ_P_C.htm,KIQ106,2003-2004
Diastolic:  Blood pres (1st rdg) mm Hg,BPX_C.htm,BPXDI1,2003-2004
Diastolic:  Blood pres (4th rdg) mm Hg,BPX_C.htm,BPXDI4,2003-2004
Diastolic: Blood pres (2nd rdg) mm Hg,BPX_C.htm,BPXDI2,2003-2004
Diastolic: Blood pres (3rd rdg) mm Hg,BPX_C.htm,BPXDI3,2003-2004
Did 1st per begin after someone died?,CIQDEP_C.htm,CIQD066,2003-2004
Did 2nd period begin after someone died?,CIQDEP_C.htm,CIQD078,2003-2004
Did 2nd period begin w_in a mon of baby?,CIQDEP_C.htm,CIQD080,2003-2004
Did 4 periods occur after someone died?,CIQDEP_C.htm,CIQD089,2003-2004
Did R have multiple worries?,CIQGAD_C.htm,CIQG13,2003-2004
Did R worry about health/drug use?,CIQGAD_C.htm,CIQG12,2003-2004
Did SED interfere with life?,CIQDEP_C.htm,CIQDPC,2003-2004
Did WTA interfere with life?,CIQGAD_C.htm,CIQGPC,2003-2004
Did anyone notice moving all the time?,CIQDEP_C.htm,CIQD035,2003-2004
Did anyone notice...more slowly?,CIQDEP_C.htm,CIQD033,2003-2004
Did anything else happen before period?,CIQDEP_C.htm,CIQD062,2003-2004
Did attacks interfere with life?,CIQPAN_C.htm,CIQPPC,2003-2004
Did cutback occur past 4 weeks?,CIQDEP_C.htm,CIQD101,2003-2004
Did day occur past 4 weeks?,CIQDEP_C.htm,CIQD097,2003-2004
Did extreme occur past 4 weeks?,CIQDEP_C.htm,CIQD104,2003-2004
Did father ever fracture hip?,OSQ_D.htm,OSQ200,2005-2006
Did interfere occur past 4 weeks?,CIQDEP_C.htm,CIQD107,2003-2004
"Did it end past mos, past 6 mos or more?",CIQDEP_C.htm,CIQD077,2003-2004
Did it end past mos. or more than month?,CIQDEP_C.htm,CIQD076,2003-2004
Did mother ever fracture hip?,OSQ_D.htm,OSQ170,2005-2006
Did period begin after someone died?,CIQDEP_C.htm,CIQD059,2003-2004
Did period begin w_in month of baby?,CIQDEP_C.htm,CIQD061,2003-2004
Did period last six months?,CIQGAD_C.htm,CIQG02,2003-2004
Did periods occur w_in mos. of baby?,CIQDEP_C.htm,CIQD092,2003-2004
Did thoughts come slower...?,CIQDEP_C.htm,CIQD045,2003-2004
Did totally occur past 4 weeks?,CIQPAN_C.htm,CIQP61,2003-2004
Did you attempt suicide?,CIQDEP_C.htm,CIQD050,2003-2004
Did you feel guilty?,CIQDEP_C.htm,CIQD037,2003-2004
Did you feel not as good as others?,CIQDEP_C.htm,CIQD041,2003-2004
Did you feel ok two months between?,CIQDEP_C.htm,CIQD072,2003-2004
Did you feel unreal?,CIQPAN_C.htm,CIQP13J,2003-2004
Did you feel worthless nearly every day?,CIQDEP_C.htm,CIQD036,2003-2004
Did you gain weight?,CIQDEP_C.htm,CIQD023,2003-2004
Did you have a larger appetite?,CIQDEP_C.htm,CIQD022,2003-2004
Did you have dry mouth?,CIQPAN_C.htm,CIQP13D,2003-2004
Did you have less appetite?,CIQDEP_C.htm,CIQD019,2003-2004
Did you have so little confidence...?,CIQDEP_C.htm,CIQD042,2003-2004
Did you have to move all the time?,CIQDEP_C.htm,CIQD034,2003-2004
Did you have two mos. enjoy...?,CIQDEP_C.htm,CIQD073,2003-2004
Did you have...trouble concentrating?,CIQDEP_C.htm,CIQD043,2003-2004
Did you lose weight?,CIQDEP_C.htm,CIQD020,2003-2004
Did you make a suicide plan?,CIQDEP_C.htm,CIQD049,2003-2004
Did you sleep too much?,CIQDEP_C.htm,CIQD028,2003-2004
Did you sweat?,CIQPAN_C.htm,CIQP13B,2003-2004
Did you take medication for SED?,CIQDEP_C.htm,CIQDPB,2003-2004
Did you take medication for WTA?,CIQGAD_C.htm,CIQGPB,2003-2004
Did you take medication for attack?,CIQPAN_C.htm,CIQPPB,2003-2004
Did you talk or move more slowly?,CIQDEP_C.htm,CIQD032,2003-2004
Did you tell MD about SED?,CIQDEP_C.htm,CIQD109,2003-2004
Did you tell MD about WTA?,CIQGAD_C.htm,CIQG18,2003-2004
Did you tell doctor about attack?,CIQPAN_C.htm,CIQP58,2003-2004
Did you tell other prof about SED?,CIQDEP_C.htm,CIQDPA,2003-2004
Did you tell other prof about WTA?,CIQGAD_C.htm,CIQGPA,2003-2004
Did you tell other prof about attack?,CIQPAN_C.htm,CIQPPA,2003-2004
Did you think a lot about death?,CIQDEP_C.htm,CIQD047,2003-2004
Did you think about committing suicide?,CIQDEP_C.htm,CIQD048,2003-2004
Did you tremble or shake?,CIQPAN_C.htm,CIQP13C,2003-2004
Did you wake up 2 hours early?,CIQDEP_C.htm,CIQD027,2003-2004
Did your heart pound or race?,CIQPAN_C.htm,CIQP13A,2003-2004
Dietary day one sample weight,DR2TOT_D.htm,WTDRD1,2005-2006
Dietary fiber (gm),DR2TOT_D.htm,DR2TFIBE,2005-2006
Dietary recall status,DR2TOT_D.htm,DR2DRSTZ,2005-2006
Dietary two-day sample weight,DR2TOT_D.htm,WTDR2D,2005-2006
Dietitian,WHQ_D.htm,WHQ280B,2005-2006
Difficulty at work because tired?,SLQ_D.htm,SLQ230,2005-2006
Difficulty concentrating when tired?,SLQ_D.htm,SLQ170,2005-2006
Difficulty eating when tired?,SLQ_D.htm,SLQ190,2005-2006
Difficulty getting things done?,SLQ_D.htm,SLQ210,2005-2006
Difficulty on phone when tired?,SLQ_D.htm,SLQ240,2005-2006
Difficulty remembering when tired?,SLQ_D.htm,SLQ180,2005-2006
Difficulty with a hobby when tired?,SLQ_D.htm,SLQ200,2005-2006
Difficulty with finance when tired?,SLQ_D.htm,SLQ220,2005-2006
Direct HDL-Cholesterol (mg/dL),L13_C.htm,LBXHDD,2003-2004
Direct HDL-Cholesterol (mmol/L),L13_C.htm,LBDHDDSI,2003-2004
Do plans cover prescriptions?,HIQ_D.htm,HIQ270,2005-2006
Do you now smoke a pipe,SMQ_C.htm,SMQ140,2003-2004
Do you now smoke cigarettes,SMQ_C.htm,SMQ040,2003-2004
Do you now smoke cigars,SMQ_C.htm,SMQ170,2003-2004
Do you now use chewing tobacco,SMQ_C.htm,SMQ230,2003-2004
Do you now use snuff,SMQ_C.htm,SMQ200,2003-2004
Do you think worry excessive?,CIQGAD_C.htm,CIQG14,2003-2004
Doc gave no definite diagnosis for WTA,CIQGAD_C.htm,CIQGPHK,2003-2004
Doc said mental illness causing attacks,CIQPAN_C.htm,CIQPPHE,2003-2004
Doctor,WHQ_D.htm,WHQ280D,2005-2006
Doctor ever told any other fractures?,OSQ_D.htm,OSQ080,2005-2006
Doctor gave no definite diag for SED,CIQDEP_C.htm,CIQDPHK,2003-2004
Doctor gave no definite diag for attacks,CIQPAN_C.htm,CIQPPHK,2003-2004
Doctor prescribe wheezing medication,RDQ_C.htm,RDQ134,2003-2004
Doctor said alcohol causing SED,CIQDEP_C.htm,CIQDPHH,2003-2004
Doctor said alcohol causing WTA,CIQGAD_C.htm,CIQGPHH,2003-2004
Doctor said alcohol causing attacks,CIQPAN_C.htm,CIQPPHH,2003-2004
Doctor said anxiety causing SED,CIQDEP_C.htm,CIQDPHC,2003-2004
Doctor said anxiety causing WTA,CIQGAD_C.htm,CIQGPHC,2003-2004
Doctor said anxiety causing attacks,CIQPAN_C.htm,CIQPPHC,2003-2004
Doctor said depression causing SED,CIQDEP_C.htm,CIQDPHD,2003-2004
Doctor said depression causing WTA,CIQGAD_C.htm,CIQGPHD,2003-2004
Doctor said depression causing attacks,CIQPAN_C.htm,CIQPPHD,2003-2004
Doctor said drugs causing SED,CIQDEP_C.htm,CIQDPHG,2003-2004
Doctor said drugs causing WTA,CIQGAD_C.htm,CIQGPHG,2003-2004
Doctor said drugs causing attacks,CIQPAN_C.htm,CIQPPHG,2003-2004
Doctor said medication causing SED,CIQDEP_C.htm,CIQDPHF,2003-2004
Doctor said medication causing WTA,CIQGAD_C.htm,CIQGPHF,2003-2004
Doctor said medication causing attacks,CIQPAN_C.htm,CIQPPHF,2003-2004
Doctor said mental illness causing SED,CIQDEP_C.htm,CIQDPHE,2003-2004
Doctor said mental illness causing WTA,CIQGAD_C.htm,CIQGPHE,2003-2004
Doctor said nerves causing SED,CIQDEP_C.htm,CIQDPHA,2003-2004
Doctor said nerves causing WTA,CIQGAD_C.htm,CIQGPHA,2003-2004
Doctor said nerves causing attacks,CIQPAN_C.htm,CIQPPHA,2003-2004
Doctor said phys illness causing attacks,CIQPAN_C.htm,CIQPPHI,2003-2004
Doctor said phys injury causing attacks,CIQPAN_C.htm,CIQPPHJ,2003-2004
Doctor said physical illness causing SED,CIQDEP_C.htm,CIQDPHI,2003-2004
Doctor said physical illness causing WTA,CIQGAD_C.htm,CIQGPHI,2003-2004
Doctor said physical injury causing SED,CIQDEP_C.htm,CIQDPHJ,2003-2004
Doctor said physical injury causing WTA,CIQGAD_C.htm,CIQGPHJ,2003-2004
Doctor said stress causing SED,CIQDEP_C.htm,CIQDPHB,2003-2004
Doctor said stress causing WTA,CIQGAD_C.htm,CIQGPHB,2003-2004
Doctor said stress causing attacks,CIQPAN_C.htm,CIQPPHB,2003-2004
Doctor told you - high cholesterol level,BPQ_C.htm,BPQ080,2003-2004
Doctor told you have diabetes,DIQ_D.htm,DIQ010,2005-2006
Does standing relieve pain/discomfort,CDQ_C.htm,CDQ005,2003-2004
Drank a lot of water,WHQ_C.htm,WHD080M,2003-2004
Dressing yourself difficulty,PFQ_C.htm,PFQ061L,2003-2004
"During 2 weeks, trouble sleep?",CIQDEP_C.htm,CIQD025,2003-2004
During an ordinary pace on level ground,CDQ_C.htm,CDQ003,2003-2004
Earliest age attack occurred,CIQPAN_C.htm,CIQP29,2003-2004
Earliest age period of SED,CIQDEP_C.htm,CIQD113,2003-2004
Earliest age period of WTA,CIQGAD_C.htm,CIQG22,2003-2004
Eat meals at Community/Senior center,DBQ_D.htm,DBQ330,2005-2006
Eating fewer high fat foods on own,BPQ_C.htm,BPD110A,2003-2004
Edentulous-yes,OHXDEN_C (1).htm,OHXEDEN,2003-2004
"Ended past month, 6 months, more than 6?",CIQDEP_C.htm,CIQD057,2003-2004
"Ended past mos, six months or more?",CIQDEP_C.htm,CIQD086,2003-2004
Ended past mos. or more than month?,CIQDEP_C.htm,CIQD085,2003-2004
Energy (kcal),DR2TOT_D.htm,DR2TKCAL,2005-2006
English usually spoken at home,ACQ_C.htm,ACD010A,2003-2004
Enhancement used first reading,BPX_C.htm,BPAEN1,2003-2004
Enhancement used fourth reading,BPX_C.htm,BPAEN4,2003-2004
Enhancement used second reading,BPX_C.htm,BPAEN2,2003-2004
Enhancement used third reading,BPX_C.htm,BPAEN3,2003-2004
Enlargement due to cancer,KIQ_P_C.htm,KIQ182,2003-2004
Enlargement was BPH,KIQ_P_C.htm,KIQ141,2003-2004
"Entire life, ever fear or panic attack?",CIQPAN_C.htm,CIQP01,2003-2004
Eosinophils number (1000 cells/uL),CBC_D.htm,LBDEONO,2005-2006
Eosinophils percent (%),CBC_D.htm,LBXEOPCT,2005-2006
Estimated VO2max (ml/kg/min),CVX_C.htm,CVDESVO2,2003-2004
Estimated extracellular fluid volume (L),BIX_C.htm,BIDECF,2003-2004
Estimated fat mass (kg),BIX_C.htm,BIDFAT,2003-2004
Estimated fat-free mass (kg),BIX_C.htm,BIDFFM,2003-2004
Estimated intracellular fluid volume (L),BIX_C.htm,BIDICF,2003-2004
Estimated percent body fat,BIX_C.htm,BIDPFAT,2003-2004
Estimated total water body volume (L),BIX_C.htm,BIDTBW,2003-2004
Ethyl paraben  (ng/ml),EPH_D.htm,URXEPB,2005-2006
Ethyl paraben comment,EPH_D.htm,URDEPBLC,2005-2006
"Ever attack for no reason, out of blue?",CIQPAN_C.htm,CIQP02,2003-2004
Ever attacks life-threatening?,CIQPAN_C.htm,CIQP11,2003-2004
Ever attacks not life-threatening?,CIQPAN_C.htm,CIQP12,2003-2004
Ever breastfed or fed breastmilk,DBQ_D.htm,DBQ010,2005-2006
Ever had a PSA test,KIQ_P_C.htm,KIQ321,2003-2004
Ever had a rectal exam,KIQ_P_C.htm,KIQ341,2003-2004
Ever had blood cholesterol checked,BPQ_C.htm,BPQ060,2003-2004
Ever taken prednisone or cortisone daily,OSQ_D.htm,OSQ130,2005-2006
Ever told by doctor have sleep disorder?,SLQ_D.htm,SLQ060,2005-2006
Ever told doctor had trouble sleeping?,SLQ_D.htm,SLQ050,2005-2006
Ever told had osteoporosis/brittle bones,OSQ_D.htm,OSQ060,2005-2006
Ever told have health risk for diabetes,DIQ_D.htm,DIQ170,2005-2006
Ever told you had high blood pressure,BPQ_C.htm,BPQ020,2003-2004
Ever told you had weak/failing kidneys,KIQ_U_C.htm,KIQ022,2003-2004
Ever told you have prediabetes,DIQ_D.htm,DIQ160,2005-2006
Ever treated for osteoporosis,OSQ_D.htm,OSQ070,2005-2006
Ever tried cigarette smoking,SMQ_D.htm,SMQ620,2005-2006
Ever tried to lose weight,WHQ_D.htm,WHQ210,2005-2006
Exact age when attack occurred,CIQPAN_C.htm,CIQP18,2003-2004
Examiner ID code,CVX_C.htm,CVDEXMER,2003-2004
Excluded per asthma symptoms,CVX_C.htm,CVDEXCL4,2003-2004
Excluded per cardiovascular conditions,CVX_C.htm,CVDEXCL2,2003-2004
Excluded per lung/breathing conditions,CVX_C.htm,CVDEXCL3,2003-2004
Excluded per medications,CVX_C.htm,CVDEXCL5,2003-2004
Excluded per other specific reasons,CVX_C.htm,CVDEXCL6,2003-2004
Excluded per physical limitations,CVX_C.htm,CVDEXCL1,2003-2004
Exercise protocol used in stage 1 and 2,CVX_C.htm,CVDPROT,2003-2004
Exercised,WHQ_C.htm,WHD080D,2003-2004
Exercised to lose weight,WHQ_D.htm,WHD080D,2005-2006
Experience confusion/memory problems,PFQ_C.htm,PFQ057,2003-2004
Exponent alpha,BIX_C.htm,BIDALPHA,2003-2004
FTC Carbon Monoxide Content,SMQ_C.htm,SMD100CO,2003-2004
FTC Nicotine Content,SMQ_C.htm,SMD100NI,2003-2004
FTC Tar Content,SMQ_C.htm,SMD100TR,2003-2004
Facial surface code for erosion,OHXADD_C.htm,OHX08ESF,2003-2004
Fasting Subsample 2 Year MEC Weight,TRIGLY_D.htm,WTSAF2YR,2005-2006
Father was told had osteoporosis,OSQ_D.htm,OSQ160b,2005-2006
Father's country of birth,ACQ_C.htm,ACD070,2003-2004
"Fear:  Crowd, standing in line",CIQPAN_C.htm,CIQP21G,2003-2004
Fear: Animals,CIQPAN_C.htm,CIQP21I,2003-2004
Fear: Being in a crowd,CIQPAN_C.htm,CIQP21C,2003-2004
Fear: Being in a public place,CIQPAN_C.htm,CIQP21H,2003-2004
"Fear: Being outside, away",CIQPAN_C.htm,CIQP21E,2003-2004
Fear: Closed spaces,CIQPAN_C.htm,CIQP21M,2003-2004
Fear: Flying,CIQPAN_C.htm,CIQP21L,2003-2004
Fear: Getting an injection,CIQPAN_C.htm,CIQP21O,2003-2004
Fear: Giving a speech,CIQPAN_C.htm,CIQP21A,2003-2004
Fear: Going to a hospital,CIQPAN_C.htm,CIQP21Q,2003-2004
Fear: Going to the dentist,CIQPAN_C.htm,CIQP21P,2003-2004
Fear: Heights,CIQPAN_C.htm,CIQP21J,2003-2004
Fear: Meeting new people,CIQPAN_C.htm,CIQP21D,2003-2004
Fear: Other 1,CIQPAN_C.htm,CIQP21R,2003-2004
Fear: Other 2,CIQPAN_C.htm,CIQP21S,2003-2004
Fear: Other 3,CIQPAN_C.htm,CIQP21T,2003-2004
Fear: Party or social event,CIQPAN_C.htm,CIQP21B,2003-2004
Fear: Seeing blood,CIQPAN_C.htm,CIQP21N,2003-2004
"Fear: Storms, thunder, lightening",CIQPAN_C.htm,CIQP21K,2003-2004
"Fear: Traveling bus, train, car",CIQPAN_C.htm,CIQP21F,2003-2004
Feel like you were choking?,CIQPAN_C.htm,CIQP13F,2003-2004
Feel things around you unreal?,CIQPAN_C.htm,CIQP13K,2003-2004
"Felt bad first woke, better later?",CIQDEP_C.htm,CIQD029,2003-2004
Ferritin(ng/mL),FERTIN_D.htm,LBXFER,2005-2006
Ferritin(ug/L),FERTIN_D.htm,LBDFERSI,2005-2006
Filter type,SMQ_C.htm,SMD100FL,2003-2004
Flag for Source Questionnaire,KIQ_U_C.htm,KIDUQUEX,2003-2004
Fluorosis DI: #10,OHXDEN_C (1).htm,OHX10DI,2003-2004
Fluorosis DI: #11,OHXDEN_C (1).htm,OHX11DI,2003-2004
Fluorosis DI: #12,OHXDEN_C (1).htm,OHX12DI,2003-2004
Fluorosis DI: #13,OHXDEN_C (1).htm,OHX13DI,2003-2004
Fluorosis DI: #14,OHXDEN_C (1).htm,OHX14DI,2003-2004
Fluorosis DI: #15,OHXDEN_C (1).htm,OHX15DI,2003-2004
Fluorosis DI: #18,OHXDEN_C (1).htm,OHX18DI,2003-2004
Fluorosis DI: #19,OHXDEN_C (1).htm,OHX19DI,2003-2004
Fluorosis DI: #2,OHXDEN_C (1).htm,OHX02DI,2003-2004
Fluorosis DI: #20,OHXDEN_C (1).htm,OHX20DI,2003-2004
Fluorosis DI: #21,OHXDEN_C (1).htm,OHX21DI,2003-2004
Fluorosis DI: #22,OHXDEN_C (1).htm,OHX22DI,2003-2004
Fluorosis DI: #23,OHXDEN_C (1).htm,OHX23DI,2003-2004
Fluorosis DI: #24,OHXDEN_C (1).htm,OHX24DI,2003-2004
Fluorosis DI: #25,OHXDEN_C (1).htm,OHX25DI,2003-2004
Fluorosis DI: #26,OHXDEN_C (1).htm,OHX26DI,2003-2004
Fluorosis DI: #27,OHXDEN_C (1).htm,OHX27DI,2003-2004
Fluorosis DI: #28,OHXDEN_C (1).htm,OHX28DI,2003-2004
Fluorosis DI: #29,OHXDEN_C (1).htm,OHX29DI,2003-2004
Fluorosis DI: #3,OHXDEN_C (1).htm,OHX03DI,2003-2004
Fluorosis DI: #30,OHXDEN_C (1).htm,OHX30DI,2003-2004
Fluorosis DI: #31,OHXDEN_C (1).htm,OHX31DI,2003-2004
Fluorosis DI: #4,OHXDEN_C (1).htm,OHX04DI,2003-2004
Fluorosis DI: #5,OHXDEN_C (1).htm,OHX05DI,2003-2004
Fluorosis DI: #6,OHXDEN_C (1).htm,OHX06DI,2003-2004
Fluorosis DI: #7,OHXDEN_C (1).htm,OHX07DI,2003-2004
Fluorosis DI: #8,OHXDEN_C (1).htm,OHX08DI,2003-2004
Fluorosis DI: #9,OHXDEN_C (1).htm,OHX09DI,2003-2004
"Folate, DFE (mcg)",DR2TOT_D.htm,DR2TFDFE,2005-2006
Folic acid (mcg),DR2TOT_D.htm,DR2TFA,2005-2006
Followed a special diet,WHQ_C.htm,WHD080N,2003-2004
Food folate (mcg),DR2TOT_D.htm,DR2TFF,2005-2006
Four week in row and four attacks?,CIQPAN_C.htm,CIQP57,2003-2004
Fracture result of severe trauma?,OSQ_D.htm,OSQ090a,2005-2006
"Fractures/bone/joint injury probl, days",PFQ_C.htm,PFD069G,2003-2004
Frequency trouble sleeping,CIQDEP_C.htm,CIQD026,2003-2004
Frequency with which this occurs,KIQ_U_C.htm,KIQ045,2003-2004
GAD score,CIQGAD_C.htm,CIDGSCOR,2003-2004
Gamma glutamyl transferase (U/L),L40_C.htm,LBXSGTSI,2003-2004
General cause of WTA,CIQGAD_C.htm,CIDGPRB,2003-2004
General cause of problem,CIQDEP_C.htm,CIDDPRB,2003-2004
General health condition,HSQ_C.htm,HSD010,2003-2004
Getting in and out of bed difficulty,PFQ_C.htm,PFQ061J,2003-2004
Gingival / OHI needs,OHXREF_C.htm,OHAROCOH,2003-2004
Globulin (g/L),L40_C.htm,LBDSGBSI,2003-2004
Globulin (g/dL),L40_C.htm,LBXSGB,2003-2004
"Glucose, serum (mg/dL)",L40_C.htm,LBXSGL,2003-2004
"Glucose, serum (mmol/L)",L40_C.htm,LBDSGLSI,2003-2004
Glycohemoglobin (%),GHB_D.htm,LBXGH,2005-2006
"Going out to movies, events difficulty",PFQ_C.htm,PFQ061Q,2003-2004
Got medical attentn for wheezing attack,RDQ_C.htm,RDD120,2003-2004
Grasp/holding small objects difficulty,PFQ_C.htm,PFQ061P,2003-2004
Gynoid fat mass,DXXAG_C.htm,DXXGYFM,2003-2004
Gynoid lean mass,DXXAG_C.htm,DXXGYLM,2003-2004
Gynoid percent fat,DXXAG_C.htm,DXXGPFAT,2003-2004
Gynoid total mass,DXXAG_C.htm,DXXGYTOM,2003-2004
Had a heart problem?,OHXREF_C.htm,OHQ132,2003-2004
Had alcohol in the past 30 minutes?,BPX_C.htm,BPQ150B,2003-2004
Had bacterial endocarditis?,OHXREF_C.htm,OHQ140,2003-2004
Had blood tested past three years,DIQ_D.htm,DIQ180,2005-2006
Had cigarettes in the past 30 minutes?,BPX_C.htm,BPQ150D,2003-2004
Had coffee in the past 30 minutes?,BPX_C.htm,BPQ150C,2003-2004
Had congenital heart disease?,OHXREF_C.htm,OHQ138,2003-2004
Had congenital heart murmurs?,OHXREF_C.htm,OHQ134,2003-2004
Had dry cough at night in past year,RDQ_C.htm,RDQ140,2003-2004
Had food in the past 30 minutes?,BPX_C.htm,BPQ150A,2003-2004
Had heart valve problem?,OHXREF_C.htm,OHQ136,2003-2004
Had rheumatic fever?,OHXREF_C.htm,OHQ142,2003-2004
Handcard: more irritable?,CIQGAD_C.htm,CIQG17D,2003-2004
Handcard: more tired than usual?,CIQGAD_C.htm,CIQG17C,2003-2004
Handcard: often keyed up?,CIQGAD_C.htm,CIQG17B,2003-2004
Handcard: often restless?,CIQGAD_C.htm,CIQG17A,2003-2004
"Handcard: tense, sore, ach muscles?",CIQGAD_C.htm,CIQG17G,2003-2004
Handcard: trouble keeping mind on?,CIQGAD_C.htm,CIQG17F,2003-2004
Handcard: trouble sleeping?,CIQGAD_C.htm,CIQG17E,2003-2004
Have Medicare?,HIQ_D.htm,HIQ260,2005-2006
"Have a hip, bone, or joint replacement?",OHXREF_C.htm,OHQ148,2003-2004
Have hot flashes or chills?,CIQPAN_C.htm,CIQP13O,2003-2004
Have kidney disease w/ renal dialysis?,OHXREF_C.htm,OHQ144,2003-2004
Have numbness or tingling?,CIQPAN_C.htm,CIQP13P,2003-2004
Have other artificial material?,OHXREF_C.htm,OHQ146,2003-2004
Head Circumference (cm),BMX_C.htm,BMXHEAD,2003-2004
Head Circumference Comment,BMX_C.htm,BMIHEAD,2003-2004
Health now compared with 1 year ago,HUQ_C.htm,HUQ020,2003-2004
Health problems causing difficulty,PFQ_C.htm,PFQ063A,2003-2004
Heard about 5-a-day program?,DBQ_D.htm,DBQ740,2005-2006
Heard of dietary guidelines?,DBQ_D.htm,DBQ720,2005-2006
Heard of food guide pyramid?,DBQ_D.htm,DBQ730,2005-2006
"Hearing problems, days",PFQ_C.htm,PFD069H,2003-2004
"Heart problems, days",PFQ_C.htm,PFD069I,2003-2004
Height-Length difference flagged,BMX_C.htm,BMDRECUF,2003-2004
Helped in responding for this interview,DR2TOT_D.htm,DR2HELPD,2005-2006
Hematocrit (%),CBC_D.htm,LBXHCT,2005-2006
Hemoglobin (g/dL),CBC_D.htm,LBXHGB,2005-2006
Hour of the Day,PAXRAW_C.htm,PAXHOUR,2003-2004
House chore difficulty,PFQ_C.htm,PFQ061F,2003-2004
How do you consider your weight,WHQ_C.htm,WHQ030,2003-2004
How frequently does this occur,KIQ_U_C.htm,KIQ043,2003-2004
How frequently does this occur?,KIQ_U_D.htm,KIQ430,2005-2006
How healthy is the diet,DBQ_D.htm,DBQ700,2005-2006
How long ago saw a diabetes specialist,DIQ_D.htm,DIQ230,2005-2006
How long ago was last blood donation?,HSQ_C.htm,HSQ580,2003-2004
How long between two periods?,CIQDEP_C.htm,CIQD071,2003-2004
How long each time (minutes),PAQ_C.htm,PAD160,2003-2004
How long has period been going on?,CIQDEP_C.htm,CIQD055,2003-2004
