Description,File,Variable,Year
Eat meals at Community/Senior center,DBQ_D.htm,DBQ330,2005-2006
Ever breastfed or fed breastmilk,DBQ_D.htm,DBQ010,2005-2006
Heard about 5-a-day program?,DBQ_D.htm,DBQ740,2005-2006
Heard of dietary guidelines?,DBQ_D.htm,DBQ720,2005-2006
Heard of food guide pyramid?,DBQ_D.htm,DBQ730,2005-2006
How healthy is the diet,DBQ_D.htm,DBQ700,2005-2006
How often drank milk age 13-17,DBQ_D.htm,DBQ235B,2005-2006
How often drank milk age 18-35,DBQ_D.htm,DBQ235C,2005-2006
How often drank milk age 5-12,DBQ_D.htm,DBQ235A,2005-2006
Past 30 day milk product consumption,DBQ_D.htm,DBQ197,2005-2006
Regular milk use 5 times per week,DBQ_D.htm,DBQ229,2005-2006
Respondent sequence number,DBQ_D.htm,SEQN,2005-2006
School breakfast free/reduced/full price,DBQ_D.htm,DBQ421,2005-2006
"School lunch free, reduced or full price",DBQ_D.htm,DBQ390,2005-2006
School serve complete breakfast each day,DBQ_D.htm,DBQ400,2005-2006
School serves school lunches,DBQ_D.htm,DBQ370,2005-2006
Summer program meal free/reduced price,DBQ_D.htm,DBQ424,2005-2006
Type of milk first fed - other,DBQ_D.htm,DBD072U,2005-2006
Type of milk first fed-1% milk,DBQ_D.htm,DBD072C,2005-2006
Type of milk first fed-2% milk,DBQ_D.htm,DBD072B,2005-2006
Type of milk first fed-fat free milk,DBQ_D.htm,DBD072D,2005-2006
Type of milk first fed-whole milk,DBQ_D.htm,DBD072A,2005-2006
Use health claims on food packages,DBQ_D.htm,DBQ780,2005-2006
Use ingredients list on food label,DBQ_D.htm,DBQ760,2005-2006
Use nutrition facts panel on food label,DBQ_D.htm,DBQ750,2005-2006
Use serving size info on food label,DBQ_D.htm,DBQ770,2005-2006
You drink 1% fat milk,DBQ_D.htm,DBD222C,2005-2006
You drink 2% fat milk,DBQ_D.htm,DBD222B,2005-2006
You drink another type of milk,DBQ_D.htm,DBD222U,2005-2006
You drink fat-free or skim milk,DBQ_D.htm,DBD222D,2005-2006
You drink whole or regular milk,DBQ_D.htm,DBD222A,2005-2006
Age at Screening Adjudicated - Recode,DEMO_C.htm,RIDAGEYR,2003-2004
Age in Months - Recode,DEMO_C.htm,RIDAGEMN,2003-2004
Annual Family Income,DEMO_C.htm,INDFMINC,2003-2004
Annual Household Income,DEMO_C.htm,INDHHINC,2003-2004
Citizenship Status,DEMO_C.htm,DMDCITZN,2003-2004
Country of Birth - Recode,DEMO_C.htm,DMDBORN,2003-2004
Data Release Number,DEMO_C.htm,SDDSRVYR,2003-2004
Education - Recode (old version),DEMO_C.htm,DMDEDUC,2003-2004
Education Level - Adults 20+,DEMO_C.htm,DMDEDUC2,2003-2004
Education Level - Children/Youth 6-19,DEMO_C.htm,DMDEDUC3,2003-2004
Exam Age in Months - Recode,DEMO_C.htm,RIDAGEEX,2003-2004
Family PIR,DEMO_C.htm,INDFMPIR,2003-2004
Full Sample 2 Year Interview Weight,DEMO_C.htm,WTINT2YR,2003-2004
Full Sample 2 Year MEC Exam Weight,DEMO_C.htm,WTMEC2YR,2003-2004
Gender,DEMO_C.htm,RIAGENDR,2003-2004
HH Ref Person Age,DEMO_C.htm,DMDHRAGE,2003-2004
HH Ref Person Country of Birth,DEMO_C.htm,DMDHRBRN,2003-2004
HH Ref Person Education Level,DEMO_C.htm,DMDHREDU,2003-2004
HH Ref Person Gender,DEMO_C.htm,DMDHRGND,2003-2004
HH Ref Person Marital Status,DEMO_C.htm,DMDHRMAR,2003-2004
HH Ref Person's Spouse Education Level,DEMO_C.htm,DMDHSEDU,2003-2004
Interpreter used in Family Interview?,DEMO_C.htm,FIAINTRP,2003-2004
Interpreter used in MEC Interview?,DEMO_C.htm,MIAINTRP,2003-2004
Interpreter used in SP Interview?,DEMO_C.htm,SIAINTRP,2003-2004
Interview/Examination Status,DEMO_C.htm,RIDSTATR,2003-2004
Language of ACASI Interview,DEMO_C.htm,AIALANG,2003-2004
Language of Family Interview,DEMO_C.htm,FIALANG,2003-2004
Language of MEC Interview,DEMO_C.htm,MIALANG,2003-2004
Language of SP Interview,DEMO_C.htm,SIALANG,2003-2004
Length of time in US,DEMO_C.htm,DMDYRSUS,2003-2004
Linked NH3 Race/Ethnicity - Recode,DEMO_C.htm,RIDRETH2,2003-2004
Marital Status,DEMO_C.htm,DMDMARTL,2003-2004
Masked Variance Pseudo-PSU,DEMO_C.htm,SDMVPSU,2003-2004
Masked Variance Pseudo-Stratum,DEMO_C.htm,SDMVSTRA,2003-2004
Now attending school?,DEMO_C.htm,DMDSCHOL,2003-2004
Pregnancy Status at Exam - Recode,DEMO_C.htm,RIDEXPRG,2003-2004
Proxy used in Family Interview?,DEMO_C.htm,FIAPROXY,2003-2004
Proxy used in MEC Interview?,DEMO_C.htm,MIAPROXY,2003-2004
Proxy used in SP Interview?,DEMO_C.htm,SIAPROXY,2003-2004
Race/Ethnicity - Recode,DEMO_C.htm,RIDRETH1,2003-2004
Respondent sequence number,DEMO_C.htm,SEQN,2003-2004
Six month time period,DEMO_C.htm,RIDEXMON,2003-2004
Total number of people in the Household,DEMO_C.htm,DMDHHSIZ,2003-2004
Veteran/Military Status,DEMO_C.htm,DMQMILIT,2003-2004
Age at Screening Adjudicated - Recode,DEMO_C2.htm,RIDAGEYR,2003-2004
Age in Months - Recode,DEMO_C2.htm,RIDAGEMN,2003-2004
Annual Family Income,DEMO_C2.htm,INDFMINC,2003-2004
Annual Household Income,DEMO_C2.htm,INDHHINC,2003-2004
Citizenship Status,DEMO_C2.htm,DMDCITZN,2003-2004
Country of Birth - Recode,DEMO_C2.htm,DMDBORN,2003-2004
Data Release Number,DEMO_C2.htm,SDDSRVYR,2003-2004
Education - Recode (old version),DEMO_C2.htm,DMDEDUC,2003-2004
Education Level - Adults 20+,DEMO_C2.htm,DMDEDUC2,2003-2004
Education Level - Children/Youth 6-19,DEMO_C2.htm,DMDEDUC3,2003-2004
Exam Age in Months - Recode,DEMO_C2.htm,RIDAGEEX,2003-2004
Family PIR,DEMO_C2.htm,INDFMPIR,2003-2004
Full Sample 2 Year Interview Weight,DEMO_C2.htm,WTINT2YR,2003-2004
Full Sample 2 Year MEC Exam Weight,DEMO_C2.htm,WTMEC2YR,2003-2004
Gender,DEMO_C2.htm,RIAGENDR,2003-2004
HH Ref Person Age,DEMO_C2.htm,DMDHRAGE,2003-2004
HH Ref Person Country of Birth,DEMO_C2.htm,DMDHRBRN,2003-2004
HH Ref Person Education Level,DEMO_C2.htm,DMDHREDU,2003-2004
HH Ref Person Gender,DEMO_C2.htm,DMDHRGND,2003-2004
HH Ref Person Marital Status,DEMO_C2.htm,DMDHRMAR,2003-2004
HH Ref Person's Spouse Education Level,DEMO_C2.htm,DMDHSEDU,2003-2004
Interpreter used in Family Interview?,DEMO_C2.htm,FIAINTRP,2003-2004
Interpreter used in MEC Interview?,DEMO_C2.htm,MIAINTRP,2003-2004
Interpreter used in SP Interview?,DEMO_C2.htm,SIAINTRP,2003-2004
Interview/Examination Status,DEMO_C2.htm,RIDSTATR,2003-2004
Language of ACASI Interview,DEMO_C2.htm,AIALANG,2003-2004
Language of Family Interview,DEMO_C2.htm,FIALANG,2003-2004
Language of MEC Interview,DEMO_C2.htm,MIALANG,2003-2004
Language of SP Interview,DEMO_C2.htm,SIALANG,2003-2004
Length of time in US,DEMO_C2.htm,DMDYRSUS,2003-2004
Linked NH3 Race/Ethnicity - Recode,DEMO_C2.htm,RIDRETH2,2003-2004
Marital Status,DEMO_C2.htm,DMDMARTL,2003-2004
Masked Variance Pseudo-PSU,DEMO_C2.htm,SDMVPSU,2003-2004
Masked Variance Pseudo-Stratum,DEMO_C2.htm,SDMVSTRA,2003-2004
Now attending school?,DEMO_C2.htm,DMDSCHOL,2003-2004
Pregnancy Status at Exam - Recode,DEMO_C2.htm,RIDEXPRG,2003-2004
Proxy used in Family Interview?,DEMO_C2.htm,FIAPROXY,2003-2004
Proxy used in MEC Interview?,DEMO_C2.htm,MIAPROXY,2003-2004
Proxy used in SP Interview?,DEMO_C2.htm,SIAPROXY,2003-2004
Race/Ethnicity - Recode,DEMO_C2.htm,RIDRETH1,2003-2004
Respondent sequence number,DEMO_C2.htm,SEQN,2003-2004
Six month time period,DEMO_C2.htm,RIDEXMON,2003-2004
Total number of people in the Household,DEMO_C2.htm,DMDHHSIZ,2003-2004
Veteran/Military Status,DEMO_C2.htm,DMQMILIT,2003-2004
Age at Screening Adjudicated - Recode,DEMO_D.htm,RIDAGEYR,2005-2006
Age in Months - Recode,DEMO_D.htm,RIDAGEMN,2005-2006
Annual Family Income,DEMO_D.htm,INDFMINC,2005-2006
Annual Household Income,DEMO_D.htm,INDHHINC,2005-2006
Citizenship Status,DEMO_D.htm,DMDCITZN,2005-2006
Country of Birth - Recode,DEMO_D.htm,DMDBORN,2005-2006
Data Release Number,DEMO_D.htm,SDDSRVYR,2005-2006
Education Level - Adults 20+,DEMO_D.htm,DMDEDUC2,2005-2006
Education Level - Children/Youth 6-19,DEMO_D.htm,DMDEDUC3,2005-2006
Exam Age in Months - Recode,DEMO_D.htm,RIDAGEEX,2005-2006
Family PIR,DEMO_D.htm,INDFMPIR,2005-2006
Full Sample 2 Year Interview Weight,DEMO_D.htm,WTINT2YR,2005-2006
Full Sample 2 Year MEC Exam Weight,DEMO_D.htm,WTMEC2YR,2005-2006
Gender,DEMO_D.htm,RIAGENDR,2005-2006
HH Ref Person Age,DEMO_D.htm,DMDHRAGE,2005-2006
HH Ref Person Country of Birth,DEMO_D.htm,DMDHRBRN,2005-2006
HH Ref Person Education Level,DEMO_D.htm,DMDHREDU,2005-2006
HH Ref Person Gender,DEMO_D.htm,DMDHRGND,2005-2006
HH Ref Person Marital Status,DEMO_D.htm,DMDHRMAR,2005-2006
HH Ref Person's Spouse Education Level,DEMO_D.htm,DMDHSEDU,2005-2006
Interpreter used in Family Interview?,DEMO_D.htm,FIAINTRP,2005-2006
Interpreter used in MEC Interview?,DEMO_D.htm,MIAINTRP,2005-2006
Interpreter used in SP Interview?,DEMO_D.htm,SIAINTRP,2005-2006
Interview/Examination Status,DEMO_D.htm,RIDSTATR,2005-2006
Language of ACASI Interview,DEMO_D.htm,AIALANG,2005-2006
Language of Family Interview,DEMO_D.htm,FIALANG,2005-2006
Language of MEC Interview,DEMO_D.htm,MIALANG,2005-2006
Language of SP Interview,DEMO_D.htm,SIALANG,2005-2006
Length of time in US,DEMO_D.htm,DMDYRSUS,2005-2006
Marital Status,DEMO_D.htm,DMDMARTL,2005-2006
Masked Variance Pseudo-PSU,DEMO_D.htm,SDMVPSU,2005-2006
Masked Variance Pseudo-Stratum,DEMO_D.htm,SDMVSTRA,2005-2006
Now attending school?,DEMO_D.htm,DMDSCHOL,2005-2006
Pregnancy Status at Exam - Recode,DEMO_D.htm,RIDEXPRG,2005-2006
Proxy used in Family Interview?,DEMO_D.htm,FIAPROXY,2005-2006
Proxy used in MEC Interview?,DEMO_D.htm,MIAPROXY,2005-2006
Proxy used in SP Interview?,DEMO_D.htm,SIAPROXY,2005-2006
Race/Ethnicity - Recode,DEMO_D.htm,RIDRETH1,2005-2006
Respondent sequence number,DEMO_D.htm,SEQN,2005-2006
Six month time period,DEMO_D.htm,RIDEXMON,2005-2006
Total number of people in the Family,DEMO_D.htm,DMDFMSIZ,2005-2006
Total number of people in the Household,DEMO_D.htm,DMDHHSIZ,2005-2006
Veteran/Military Status,DEMO_D.htm,DMQMILIT,2005-2006
Age when first told you had diabetes,DIQ_C.htm,DID040G,2003-2004
CHECK ITEM,DIQ_C.htm,DIQ065,2003-2004
CHECK ITEM,DIQ_C.htm,DIQ085,2003-2004
CHECK ITEM,DIQ_C.htm,DIQ075,2003-2004
Diabetes affected eyes/had retinopathy,DIQ_C.htm,DIQ080,2003-2004
Doctor told you have diabetes,DIQ_C.htm,DIQ010,2003-2004
How long taking insulin,DIQ_C.htm,DID060G,2003-2004
Number of mons/yrs taking insulin,DIQ_C.htm,DID060Q,2003-2004
Number of years of age,DIQ_C.htm,DID040Q,2003-2004
"Numbness in hands, feet or both",DIQ_C.htm,DIQ110,2003-2004
Numbness in hands/feet-past 3 mos,DIQ_C.htm,DIQ100,2003-2004
Pain  in calf or calves,DIQ_C.htm,DIQ150,2003-2004
Pain in either leg while walking,DIQ_C.htm,DIQ140,2003-2004
"Pain/tingling in hands,feet or both",DIQ_C.htm,DIQ130,2003-2004
Pain/tingling in hands/feet - past 3 mos,DIQ_C.htm,DIQ120,2003-2004
Respondent sequence number,DIQ_C.htm,SEQN,2003-2004
Take diabetic pills to lower blood sugar,DIQ_C.htm,DIQ070,2003-2004
Taking insulin now,DIQ_C.htm,DIQ050,2003-2004
Ulcer/sore not healed within 4 weeks,DIQ_C.htm,DIQ090,2003-2004
Unit of measure (month/year),DIQ_C.htm,DIQ060U,2003-2004
Age when first told you had diabetes,DIQ_D.htm,DID040,2005-2006
Are you controlling weight,DIQ_D.htm,DIQ200A,2005-2006
Are you increasing physical activity,DIQ_D.htm,DIQ200B,2005-2006
Are you reducing fat/calories in diet,DIQ_D.htm,DIQ200C,2005-2006
CHECK ITEM,DIQ_D.htm,DIQ295,2005-2006
CHECK ITEM,DIQ_D.htm,DID229,2005-2006
CHECK ITEM,DIQ_D.htm,DID065,2005-2006
CHECK ITEM,DIQ_D.htm,DIQ159,2005-2006
CHECK ITEM,DIQ_D.htm,DIQ219,2005-2006
Diabetes affected eyes/had retinopathy,DIQ_D.htm,DIQ080,2005-2006
Doctor told you have diabetes,DIQ_D.htm,DIQ010,2005-2006
Ever told have health risk for diabetes,DIQ_D.htm,DIQ170,2005-2006
Ever told you have prediabetes,DIQ_D.htm,DIQ160,2005-2006
Had blood tested past three years,DIQ_D.htm,DIQ180,2005-2006
How long ago saw a diabetes specialist,DIQ_D.htm,DIQ230,2005-2006
How long taking insulin,DIQ_D.htm,DID060,2005-2006
How often check blood for glucose/sugar,DIQ_D.htm,DID260,2005-2006
How often do you check your feet,DIQ_D.htm,DID350,2005-2006
Is there one Dr you see for diabetes,DIQ_D.htm,DIQ240,2005-2006
Last time had pupils dilated for exam,DIQ_D.htm,DIQ360,2005-2006
Past year how many times seen doctor,DIQ_D.htm,DID250,2005-2006
Past year times Dr check feet for sores,DIQ_D.htm,DID340,2005-2006
Past year times checked for A1C,DIQ_D.htm,DID270,2005-2006
Past yr told control weight,DIQ_D.htm,DIQ190A,2005-2006
Past yr told increase physical activity,DIQ_D.htm,DIQ190B,2005-2006
Past yr told reduce fat/calories in diet,DIQ_D.htm,DIQ190C,2005-2006
Respondent sequence number,DIQ_D.htm,SEQN,2005-2006
Take diabetic pills to lower blood sugar,DIQ_D.htm,DID070,2005-2006
Taking insulin now,DIQ_D.htm,DIQ050,2005-2006
Unit of measure (day/week/month/year),DIQ_D.htm,DIQ260U,2005-2006
Unit of measure (day/week/month/year),DIQ_D.htm,DIQ350U,2005-2006
Unit of measure (month/year),DIQ_D.htm,DIQ060U,2005-2006
What does Dr say A1C should be,DIQ_D.htm,DIQ290,2005-2006
What does Dr say DBP should be,DIQ_D.htm,DID310D,2005-2006
What does Dr say LDL should be,DIQ_D.htm,DID330,2005-2006
What does Dr say SBP should be,DIQ_D.htm,DID310S,2005-2006
What was most recent LDL number,DIQ_D.htm,DID320,2005-2006
What was your last A1C level,DIQ_D.htm,DIQ280,2005-2006
What was your recent DBP,DIQ_D.htm,DIQ300D,2005-2006
What was your recent SBP,DIQ_D.htm,DIQ300S,2005-2006
When was your diabetes diagnosed,DIQ_D.htm,DIQ220,2005-2006
CHECK ITEM,DPQ_D.htm,DPQ095,2005-2006
CHECK ITEM,DPQ_D.htm,DPQ001,2005-2006
Difficulty these problems have caused,DPQ_D.htm,DPQ100,2005-2006
Feeling bad about yourself,DPQ_D.htm,DPQ060,2005-2006
"Feeling down, depressed, or hopeless",DPQ_D.htm,DPQ020,2005-2006
Feeling tired or having little energy,DPQ_D.htm,DPQ040,2005-2006
Little interest in doing things,DPQ_D.htm,DPQ010,2005-2006
Moving or speaking slowly or too fast,DPQ_D.htm,DPQ080,2005-2006
Poor appetite or overeating,DPQ_D.htm,DPQ050,2005-2006
Respondent sequence number,DPQ_D.htm,SEQN,2005-2006
Thought you would be better off dead,DPQ_D.htm,DPQ090,2005-2006
Trouble concentrating on things,DPQ_D.htm,DPQ070,2005-2006
Trouble sleeping or sleeping too much,DPQ_D.htm,DPQ030,2005-2006
# of times bass eaten in past 30 days,DR1TOT_D.htm,DRD370CQ,2005-2006
# of times breaded fish products eaten,DR1TOT_D.htm,DRD370AQ,2005-2006
# of times catfish eaten in past 30 days,DR1TOT_D.htm,DRD370DQ,2005-2006
# of times clams eaten in past 30 days,DR1TOT_D.htm,DRD350AQ,2005-2006
# of times cod eaten in past 30 days,DR1TOT_D.htm,DRD370EQ,2005-2006
# of times crabs eaten in past 30 days,DR1TOT_D.htm,DRD350BQ,2005-2006
# of times crayfish eaten past 30 days,DR1TOT_D.htm,DRD350CQ,2005-2006
# of times flatfish eaten past 30 days,DR1TOT_D.htm,DRD370FQ,2005-2006
# of times haddock eaten in past 30 days,DR1TOT_D.htm,DRD370GQ,2005-2006
# of times lobsters eaten past 30 days,DR1TOT_D.htm,DRD350DQ,2005-2006
# of times mackerel eaten past 30 days,DR1TOT_D.htm,DRD370HQ,2005-2006
# of times mussels eaten in past 30 days,DR1TOT_D.htm,DRD350EQ,2005-2006
# of times other fish eaten past 30 days,DR1TOT_D.htm,DRD370TQ,2005-2006
# of times other shellfish eaten,DR1TOT_D.htm,DRD350IQ,2005-2006
# of times other unknown fish eaten,DR1TOT_D.htm,DRD370UQ,2005-2006
# of times other unknown shellfish eaten,DR1TOT_D.htm,DRD350JQ,2005-2006
# of times oysters eaten in past 30 days,DR1TOT_D.htm,DRD350FQ,2005-2006
# of times perch eaten in past 30 days,DR1TOT_D.htm,DRD370IQ,2005-2006
# of times pike eaten in past 30 days,DR1TOT_D.htm,DRD370JQ,2005-2006
# of times pollock eaten in past 30 days,DR1TOT_D.htm,DRD370KQ,2005-2006
# of times porgy eaten in past 30 days,DR1TOT_D.htm,DRD370LQ,2005-2006
# of times salmon eaten in past 30 days,DR1TOT_D.htm,DRD370MQ,2005-2006
# of times sardines eaten past 30 days,DR1TOT_D.htm,DRD370NQ,2005-2006
# of times scallops eaten past 30 days,DR1TOT_D.htm,DRD350GQ,2005-2006
# of times sea bass eaten past 30 days,DR1TOT_D.htm,DRD370OQ,2005-2006
# of times shark eaten in past 30 days,DR1TOT_D.htm,DRD370PQ,2005-2006
# of times shrimp eaten in past 30 days,DR1TOT_D.htm,DRD350HQ,2005-2006
# of times swordfish eaten past 30 days,DR1TOT_D.htm,DRD370QQ,2005-2006
# of times trout eaten in past 30 days,DR1TOT_D.htm,DRD370RQ,2005-2006
# of times tuna eaten in past 30 days,DR1TOT_D.htm,DRD370BQ,2005-2006
# of times walleye eaten in past 30 days,DR1TOT_D.htm,DRD370SQ,2005-2006
Added alpha-tocopherol (Vitamin E) (mg),DR1TOT_D.htm,DR1TATOA,2005-2006
Added vitamin B12 (mcg),DR1TOT_D.htm,DR1TB12A,2005-2006
Alcohol (gm),DR1TOT_D.htm,DR1TALCO,2005-2006
Alpha-carotene (mcg),DR1TOT_D.htm,DR1TACAR,2005-2006
Bass eaten during past 30 days,DR1TOT_D.htm,DRD370C,2005-2006
Beta-carotene (mcg),DR1TOT_D.htm,DR1TBCAR,2005-2006
Beta-cryptoxanthin (mcg),DR1TOT_D.htm,DR1TCRYP,2005-2006
Breaded fish products eaten past 30 days,DR1TOT_D.htm,DRD370A,2005-2006
Breast-fed infant (either day),DR1TOT_D.htm,DRABF,2005-2006
Caffeine (mg),DR1TOT_D.htm,DR1TCAFF,2005-2006
Calcium (mg),DR1TOT_D.htm,DR1TCALC,2005-2006
Carbohydrate (gm),DR1TOT_D.htm,DR1TCARB,2005-2006
Catfish eaten during past 30 days,DR1TOT_D.htm,DRD370D,2005-2006
Cholesterol (mg),DR1TOT_D.htm,DR1TCHOL,2005-2006
Clams eaten during past 30 days,DR1TOT_D.htm,DRD350A,2005-2006
Cod eaten during past 30 days,DR1TOT_D.htm,DRD370E,2005-2006
Compare food consumed yesterday to usual,DR1TOT_D.htm,DR1_300,2005-2006
Copper (mg),DR1TOT_D.htm,DR1TCOPP,2005-2006
Crabs eaten during past 30 days,DR1TOT_D.htm,DRD350B,2005-2006
Crayfish eaten during past 30 days,DR1TOT_D.htm,DRD350C,2005-2006
Diabetic diet,DR1TOT_D.htm,DRQSDT7,2005-2006
Dietary day one sample weight,DR1TOT_D.htm,WTDRD1,2005-2006
Dietary fiber (gm),DR1TOT_D.htm,DR1TFIBE,2005-2006
Dietary recall status,DR1TOT_D.htm,DR1DRSTZ,2005-2006
Dietary two-day sample weight,DR1TOT_D.htm,WTDR2D,2005-2006
Energy (kcal),DR1TOT_D.htm,DR1TKCAL,2005-2006
Fish eaten during past 30 days,DR1TOT_D.htm,DRD360,2005-2006
Flatfish eaten during past 30 days,DR1TOT_D.htm,DRD370F,2005-2006
"Folate, DFE (mcg)",DR1TOT_D.htm,DR1TFDFE,2005-2006
Folic acid (mcg),DR1TOT_D.htm,DR1TFA,2005-2006
Food folate (mcg),DR1TOT_D.htm,DR1TFF,2005-2006
Haddock eaten during past 30 days,DR1TOT_D.htm,DRD370G,2005-2006
Helped in responding for this interview,DR1TOT_D.htm,DR1HELPD,2005-2006
High fiber diet,DR1TOT_D.htm,DRQSDT6,2005-2006
How often add salt to food at table,DR1TOT_D.htm,DBD100,2005-2006
Intake day of the week,DR1TOT_D.htm,DR1DAY,2005-2006
Interviewer ID code,DR1TOT_D.htm,DR1EXMER,2005-2006
Iron (mg),DR1TOT_D.htm,DR1TIRON,2005-2006
Language respondent used mostly,DR1TOT_D.htm,DR1LANG,2005-2006
Lobsters eaten during past 30 days,DR1TOT_D.htm,DRD350D,2005-2006
Low fat/Low cholesterol diet,DR1TOT_D.htm,DRQSDT2,2005-2006
Low fiber diet,DR1TOT_D.htm,DRQSDT5,2005-2006
Low salt/Low sodium diet,DR1TOT_D.htm,DRQSDT3,2005-2006
Lutein + zeaxanthin (mcg),DR1TOT_D.htm,DR1TLZ,2005-2006
Lycopene (mcg),DR1TOT_D.htm,DR1TLYCO,2005-2006
MFA 16:1 (Hexadecenoic) (gm),DR1TOT_D.htm,DR1TM161,2005-2006
MFA 18:1 (Octadecenoic) (gm),DR1TOT_D.htm,DR1TM181,2005-2006
MFA 20:1 (Eicosenoic) (gm),DR1TOT_D.htm,DR1TM201,2005-2006
MFA 22:1 (Docosenoic) (gm),DR1TOT_D.htm,DR1TM221,2005-2006
Mackerel eaten during past 30 days,DR1TOT_D.htm,DRD370H,2005-2006
Magnesium (mg),DR1TOT_D.htm,DR1TMAGN,2005-2006
Main respondent for this interview,DR1TOT_D.htm,DR1MNRSP,2005-2006
Moisture (gm),DR1TOT_D.htm,DR1TMOIS,2005-2006
Mussels eaten during past 30 days,DR1TOT_D.htm,DRD350E,2005-2006
Niacin (mg),DR1TOT_D.htm,DR1TNIAC,2005-2006
Number of days of intake,DR1TOT_D.htm,DRDINT,2005-2006
Number of foods reported,DR1TOT_D.htm,DR1TNUMF,2005-2006
On special diet?,DR1TOT_D.htm,DRQSDIET,2005-2006
Other fish eaten during past 30 days,DR1TOT_D.htm,DRD370T,2005-2006
Other shellfish eaten past 30 days,DR1TOT_D.htm,DRD350I,2005-2006
Other special diet,DR1TOT_D.htm,DRQSDT91,2005-2006
Other unknown fish eaten in past 30 days,DR1TOT_D.htm,DRD370U,2005-2006
Other unknown shellfish eaten past 30 d,DR1TOT_D.htm,DRD350J,2005-2006
Oysters eaten during past 30 days,DR1TOT_D.htm,DRD350F,2005-2006
PFA 18:2 (Octadecadienoic) (gm),DR1TOT_D.htm,DR1TP182,2005-2006
PFA 18:3 (Octadecatrienoic) (gm),DR1TOT_D.htm,DR1TP183,2005-2006
PFA 18:4 (Octadecatetraenoic) (gm),DR1TOT_D.htm,DR1TP184,2005-2006
PFA 20:4 (Eicosatetraenoic) (gm),DR1TOT_D.htm,DR1TP204,2005-2006
PFA 20:5 (Eicosapentaenoic) (gm),DR1TOT_D.htm,DR1TP205,2005-2006
PFA 22:5 (Docosapentaenoic) (gm),DR1TOT_D.htm,DR1TP225,2005-2006
PFA 22:6 (Docosahexaenoic) (gm),DR1TOT_D.htm,DR1TP226,2005-2006
Perch eaten during past 30 days,DR1TOT_D.htm,DRD370I,2005-2006
Phosphorus (mg),DR1TOT_D.htm,DR1TPHOS,2005-2006
Pike eaten during past 30 days,DR1TOT_D.htm,DRD370J,2005-2006
Pollock eaten during past 30 days,DR1TOT_D.htm,DRD370K,2005-2006
Porgy eaten during past 30 days,DR1TOT_D.htm,DRD370L,2005-2006
Potassium (mg),DR1TOT_D.htm,DR1TPOTA,2005-2006
Protein (gm),DR1TOT_D.htm,DR1TPROT,2005-2006
Refused on fish eaten past 30 days,DR1TOT_D.htm,DRD370V,2005-2006
Refused on shellfish eaten past 30 days,DR1TOT_D.htm,DRD350K,2005-2006
Respondent sequence number,DR1TOT_D.htm,SEQN,2005-2006
Retinol (mcg),DR1TOT_D.htm,DR1TRET,2005-2006
Riboflavin (Vitamin B2) (mg),DR1TOT_D.htm,DR1TVB2,2005-2006
SFA 10:0 (Decanoic) (gm),DR1TOT_D.htm,DR1TS100,2005-2006
SFA 12:0 (Dodecanoic) (gm),DR1TOT_D.htm,DR1TS120,2005-2006
SFA 14:0 (Tetradecanoic) (gm),DR1TOT_D.htm,DR1TS140,2005-2006
SFA 16:0 (Hexadecanoic) (gm),DR1TOT_D.htm,DR1TS160,2005-2006
SFA 18:0 (Octadecanoic) (gm),DR1TOT_D.htm,DR1TS180,2005-2006
SFA 4:0 (Butanoic) (gm),DR1TOT_D.htm,DR1TS040,2005-2006
SFA 6:0 (Hexanoic) (gm),DR1TOT_D.htm,DR1TS060,2005-2006
SFA 8:0 (Octanoic) (gm),DR1TOT_D.htm,DR1TS080,2005-2006
Salmon eaten during past 30 days,DR1TOT_D.htm,DRD370M,2005-2006
Salt used in preparation?,DR1TOT_D.htm,DRQSPREP,2005-2006
Sardines eaten during past 30 days,DR1TOT_D.htm,DRD370N,2005-2006
Scallops eaten during past 30 days,DR1TOT_D.htm,DRD350G,2005-2006
Sea bass eaten during past 30 days,DR1TOT_D.htm,DRD370O,2005-2006
Selenium (mcg),DR1TOT_D.htm,DR1TSELE,2005-2006
Shark eaten during past 30 days,DR1TOT_D.htm,DRD370P,2005-2006
Shellfish eaten during past 30 days,DR1TOT_D.htm,DRD340,2005-2006
Shrimp eaten during past 30 days,DR1TOT_D.htm,DRD350H,2005-2006
Sodium (mg),DR1TOT_D.htm,DR1TSODI,2005-2006
Sugar free/Low sugar diet,DR1TOT_D.htm,DRQSDT4,2005-2006
Swordfish eaten during past 30 days,DR1TOT_D.htm,DRD370Q,2005-2006
Tap water source,DR1TOT_D.htm,DR1TWS,2005-2006
Theobromine (mg),DR1TOT_D.htm,DR1TTHEO,2005-2006
Thiamin (Vitamin B1) (mg),DR1TOT_D.htm,DR1TVB1,2005-2006
Total bottled water drank yesterday (gm),DR1TOT_D.htm,DR1BWATZ,2005-2006
Total choline (mg),DR1TOT_D.htm,DR1TCHL,2005-2006
Total fat (gm),DR1TOT_D.htm,DR1TTFAT,2005-2006
Total folate (mcg),DR1TOT_D.htm,DR1TFOLA,2005-2006
Total monounsaturated fatty acids (gm),DR1TOT_D.htm,DR1TMFAT,2005-2006
Total plain water drank yesterday (gm),DR1TOT_D.htm,DR1_320Z,2005-2006
Total polyunsaturated fatty acids (gm),DR1TOT_D.htm,DR1TPFAT,2005-2006
